"content_languages","count"
"swe,nor","161946"
"rus,uzb","160243"
"rus,por","158278"
"cat,spa,eng","154819"
"jpn,eng,kor","154098"
"ita,spa","153671"
"eng,bos","153248"
"rus,eng,ces","152902"
"nld,eng,deu","152084"
"mkd,eng,srp","150529"
"cym,eng","150219"
"fra,eng,nld","149773"
"pan,eng","148620"
"fra,spa,eng","148597"
"eng,mar","146978"
"ita,eng,fra","146952"
"fra,ara","146198"
"eus,eng","146158"
"ita,eng,lat","145040"
"kaz,eng","144753"
"rus,fra","144646"
"eng,ile","144531"
"por,lat","143729"
"eng,kat","143217"
"tgl,eng","143003"
"deu,pol","142489"
"deu,eng,ita","141507"
"tam","140983"
"rus,bak","140520"
"fra,eng,ita","140445"
"ori,eng","140296"
"ukr,srp","138965"
"eng,kha","138452"
"swe,eng,nno","137501"
"pol,ukr","136353"
"eng,tel","136270"
"eng,nep","134922"
"kaz,rus","133979"
"spa,fra,eng","133307"
"hrv,bos,eng","133007"
"urd","132109"
"deu,ces","132032"
"eng,mal","130756"
"eng,sqi","130468"
"eus,spa","129064"
"eng,ell,hin","127995"
"ita,war,eng","127330"
"zho,eng,lat","126935"
"fra,eng,ara","126411"
"deu,lat,eng","125667"
"rus,eng,tat","125349"
"ukr,eng,srp","124848"
"deu,eng,spa","124653"
"eng,spa,deu","124421"
"swa,eng","124317"
"rus,spa","123214"
"tha,eng,dan","123073"
"zho,eng,msa","123023"
"cat,eng,spa","122936"
"eng,swa","122925"
"tat,rus","121926"
"zho,ces","121766"
"rus,eng,lat","121556"
"jpn,eng,lat","121332"
"cym","120835"
"deu,ita,eng","119694"
"ita,eng,deu","119049"
"fra,nld,eng","115723"
"eng,hye","115407"
"eng,aze","115262"
"deu,nld,eng","115246"
"ara,fra","114550"
"nld,dan","113904"
"mkd,eng","113655"
"eng,spa,grn","113226"
"spa,lat,eng","112614"
"nld,fra,eng","112316"
"fra,lat,eng","111804"
"rus,dan,eng","110699"
"afr,eng","110038"
"tha,eng,nno","108941"
"eng,fra,dan","108179"
"eng,spa,lat","108091"
"rus,est","107582"
"jpn,eng,por","107580"
"kor,eng,dan","107555"
"spa,eng,deu","106682"
"por,fra","106503"
"eng,guj","104859"
"eng,vol","104663"
"eng,fra,lat","103296"
"spa,eng,dan","103242"
"fra,por","102593"
"rus,nno","101886"
"pol,lat","101030"
"eng,gla","100871"
"spa,eng,grn","100556"
"fra,ita,eng","100485"
"eng,spa,ita","100473"
"ita,dan","100398"
"eng,por,zho","99204"
"zho,lat","98942"
"eng,spa,cat","98803"
"eng,deu,spa","98716"
"spa,eng,ita","98690"
"fra,eng,war","98352"
"swe,eng,nor","97602"
"nld,eng,dan","97452"
"bos,hrv,eng","97171"
"ita,deu,eng","96030"
"eng,mya","95958"
"spa,ron","95363"
"ind,tha,eng","95131"
"eng,kin","95125"
"uzb,rus","95013"
"ita,eng,spa","94531"
"rus,ron","94424"
"ces,tur","94024"
"ces,deu","93812"
"eng,deu,lat","93500"
"zho,spa","93401"
"eng,nld,fra","93341"
"spa,oci","93068"
"zho,eng,kor","92996"
"pol,ces","92917"
"ukr,rus,srp","92173"
"ita,fra,eng","91798"
"rus,tur","90661"
"som,eng","89532"
"rus,eng,deu","89339"
"kur,eng","89305"
"nld,deu,eng","89295"
"deu,spa,eng","88331"
"rus,ces,eng","88319"
"kir","88296"
"ara,eng,fra","88280"
"swe,fin","88258"
"vie,zho","87909"
"hrv,eng,bos","87587"
"uzb,eng","87481"
"tgk","87385"
"eng,ces,zho","87174"
"rus,ind","87033"
"est,rus","86769"
"fra,ara,eng","86729"
"eng,deu,dan","86704"
"spa,war","86243"
"fra,eng,por","86232"
"eng,fra,ita","86036"
"eng,rus,ukr","85963"
"eng,ces,por","85958"
"fra,eng,zho","85819"
"eng,zho,dan","85737"
"ara,fra,eng","84211"
"eng,ina","84121"
"rus,eng,fra","83945"
"pol,dan","83899"
"rus,lav","83673"
"eng,ita,fra","83553"
"eng,haw","83471"
"fas,ara","83431"
"ind,jav","83017"
"zho,fra","82835"
"eng,hat","82831"
"rus,ukr,srp","82579"
"vie,dan","82339"
"eng,zho,kor","81609"
"gle,eng","81396"
"deu,dan,eng","81353"
"eng,eus","81315"
"kir,rus","80507"
"spa,eng,zho","80381"
"afr","80223"
"eng,kan","80077"
"nno,eng","80070"
"epo","80066"
"fas,pus","79729"
"deu,por","79535"
"fin,swe","78996"
"zho,eng,por","78864"
"khm","78850"
"eng,deu,ita","78262"
"deu,eng,zho","78140"
"eng,cos","78058"
"bel,eng","77792"
"spa,deu,eng","75957"
"nno,slv","75697"
"eng,deu,nld","75474"
"hin,eng,san","75435"
"eng,kor,zho","75309"
"rus,slk","75091"
"lat,spa,eng","73986"
"nld,lat","73672"
"ita,eng,dan","73043"
"pol,eng,deu","72810"
"deu,tur","72748"
"nld,eng,lat","72654"
"eng,hau","72184"
"eng,khm","71910"
"jpn,fra","71844"
"deu,ltz","71764"
"eng,fra,nld","71723"
"fra,dan,eng","71679"
"deu,eng,rus","71568"
"jpn,eng,ces","71465"
"nld,fry","71366"
"eng,jav","70509"
"eng,bul,srp","70336"
"hun,slk","70306"
"eng,pan","69721"
"rus,eng,bel","69024"
"jpn,kor,eng","68994"
"jpn,eng,spa","68789"
"eng,ita,deu","68606"
"zho,vie","68602"
"ita,spa,eng","68259"
"eng,lat,spa","68238"
"eng,lat,deu","68125"
"ind,eng,vie","68124"
"tur,aze","68077"
"zho,eng,fra","67951"
"jpn,eng,deu","67667"
"mkd","67476"
"jpn,eng,ind","67450"
"ind,eng,jav","67426"
"por,ind","67092"
"rus,eng,por","67078"
"rus,eng,bul","66891"
"eng,ita,lat","66760"
"rus,pol","66585"
"tur,lat","66243"
"eng,tha,ind","66209"
"por,dan","66203"
"eng,uzb","65945"
"ita,lat,eng","65634"
"eng,deu,rus","65197"
"fas,ara,eng","64958"
"eng,cat,spa","64820"
"ind,eng,lat","64738"
"deu,eng,pol","64717"
"eng,tha,kor","64658"
"lat,eng,spa","64519"
"deu,eng,por","64463"
"eng,nno,lit","64406"
"deu,rus","64394"
"rus,eng,ita","64317"
"eng,nld,deu","64206"
"spa,zho","64131"
"jpn,kor","63902"
"swa","63787"
"lat,deu,eng","63759"
"gle","63663"
"ita,cos,eng","63608"
"spa,eng,rus","63456"
"rus,nld","63326"
"eng,nno,slv","63099"
"spa,rus","62904"
"por,eng,lat","62885"
"bel,rus","62443"
"eng,ukr,rus","62090"
"eng,rus,deu","61954"
"eng,spa,dan","61889"
"eng,jpn,kor","61550"
"spa,eng,ind","61441"
"eng,zho,ara","61389"
"vie,lat","61364"
"eng,spa,rus","61268"
"tur,dan","60737"
"spa,nld","60412"
"deu,eus","60395"
"ara,eng,fas","60198"
"ell,hye","60107"
"ell,eng,dan","60028"
"tur,deu","60016"
"spa,ita,eng","59964"
"eng,fra,zho","59807"
"rus,bel,eng","59790"
"eng,por,fra","59641"
"eng,pol,deu","59621"
"kur","59410"
"eng,dan,zho","59040"
"oci","58779"
"rus,nor","58677"
"jpn,tha","58533"
"eng,por,deu","58523"
"spa,tur","58476"
"fra,bre","58258"
"rus,lat,eng","58216"
"por,eng,fra","58177"
"jpn,eng,ita","57954"
"eng,ind,kor","57918"
"eng,nno,vie","57830"
"eng,msa,zho","57051"
"pol,slk","57038"
"eng,fry","56685"
"eng,lat,fra","56642"
"jpn,eng,srp","56215"
"kir,eng","56055"
"lao,eng","55911"
"ell,eng,lat","55767"
"nld,afr,eng","55510"
"eng,ukr,zho","55387"
"deu,war,eng","55313"
"lat,eng,deu","55185"
"fra,eng,rus","55133"
"swe,dan,eng","55026"
"mal","54884"
"fao","54832"
"mar","54554"
"eng,fra,ara","54362"
"deu,eng,ces","54357"
"zho,eng,ces","54247"
"kor,eng,zho","54091"
"fra,cat","53926"
"rus,aze","53851"
"lat,deu","53819"
"eng,som","53607"
"nor,swe","53604"
"eng,rus,dan","53595"
"zho,pan","53587"
"por,ita","53432"
"fra,eng,jpn","53425"
"eng,spa,zho","53194"
"eng,nno,zho","53136"
"eng,ita,war","52993"
"zho,eng,slk","52960"
"jpn,fra,eng","52827"
"jpn,eng,vie","52656"
"fra,por,eng","52626"
"rus,eng,spa","52380"
"ind,eng,dan","52280"
